x,y,hodiny,tarif_kc_h,tarif_eur,typ,poznamka
-742523.3298,-1041987.8218,"Po-Pá, 8-18 h.",15,.6,Z3,
-742510.1609,-1041926.5102,"Po-Pá, 8-18 h.",15,.6,Z3,
-742568.6114,-1041890.2,"Po-Pá, 8-18 h.",15,.6,Z3,
-739596.6847,-1043833.2869,"Po-Pá, 8-18 h.",40,1.6,O3,
-739030.4752,-1044758.8058,"Po-Pá, 8-18 h.",15,.6,Z3,
-738760.8643,-1043063.617,"Po-Pá, 8-18 h.",20,.8,O7,
-738544.4347,-1043058.8545,"Po-Pá, 8-18 h.",20,.8,O7,
-740381.0049,-1040764.605,"Po-Pá, 8-18 h.",15,.6,Z3,
-740479.8536,-1041148.5086,"Po-Pá, 8-18 h.",40,1.6,O3,
-740556.6711,-1041675.736,"Po-Pá, 8-18 h.",40,1.6,O3,
-740923.9135,-1041528.2746,"Po-Pá, 8-18 h.",15,.6,Z3,
-741607.561,-1041913.7259,"Po-Pá, 8-18 h.",40,1.6,O3,
-741260.1392,-1043874.3292,"Po-Pá, 8-18 h.",30,1.2,Z2,
-740881.0049,-1043943.995,"Po-Pá, 8-18 h.",30,1.2,Z2,
-740842.0044,-1044078.8415,"Po-Pá, 8-18 h.",30,1.2,Z2,
-731148.021,-1050909.5431,"Po-Pá, 8-17 h.",5,.2,O8,do 50 minut
-731064.6152,-1050939.8953,"Po-Pá, 8-17 h.",5,.2,O8,do 50 minut
-731012.2446,-1050911.8634,"Po-Pá, 8-17 h.",5,.2,O8,do 50 minut
-739526.2352,-1043826.329,"Po-Pá, 8-18 h.",40,1.6,O3,
-740279.8031,-1043830.5202,"Po-Pá, 8-18 h.",30,1.2,Z2,
-740370.3319,-1043881.6521,"Po-Pá, 8-18 h.",30,1.2,Z2,
-740492.7133,-1044035.8863,"Po-Pá, 8-18 h.",30,1.2,Z2,
-741007.3859,-1043448.2877,"Po-Pá, 8-18 h.",30,1.2,Z2,
-741066.9002,-1043600.0072,"Po-Pá, 8-18 h.",30,1.2,Z2,
-741037.5622,-1043624.3158,"Po-Pá, 8-18 h.",30,1.2,Z2,
-740047.0514,-1044697.666,"Po-Pá, 8-18 h.",30,1.2,Z2,
-742893.0501,-1041492.6823,"Po-Pá, 8-18 h.",30,1.2,Z2,
-742178.6736,-1041823.9413,"Po-Pá, 8-18 h.",30,1.2,Z2,
-741692.8977,-1041906.4914,"Po-Pá, 8-18 h.",30,1.2,Z2,
-741180.6633,-1040975.1562,"Po-Pá, 8-18 h.",15,.6,Z3,
-740866.3377,-1041112.7398,"Po-Pá, 8-18 h.",30,1.2,Z2,
-740772.1458,-1041583.6991,"Po-Pá, 8-18 h.",30,1.2,Z2,
-740700.179,-1041189.9983,"Po-Pá, 8-18 h.",30,1.2,Z2,
-740712.879,-1041286.3068,"Po-Pá, 8-18 h.",30,1.2,Z2,
-740597.5205,-1041142.3732,"Po-Pá, 8-18 h.",30,1.2,Z2,
-740457.8202,-1040768.7808,"Po-Pá, 8-18 h.",15,.6,Z3,
-740307.5366,-1040887.3144,"Po-Pá, 8-18 h.",15,.6,Z3,
-740231.3364,-1040942.3478,"Po-Pá, 8-18 h.",15,.6,Z3,
-740168.8946,-1041088.3981,"Po-Pá, 8-18 h.",15,.6,Z3,
-740656.6712,-1041748.9627,"Po-Pá, 8-18 h.",15,.6,Z3,
-740263.3076,-1041682.7331,"Po-Pá, 8-18 h.",15,.6,Z3,
-740318.1644,-1041724.8792,"Po-Pá, 8-18 h.",15,.6,Z3,
-740284.7151,-1041804.4885,"Po-Pá, 8-18 h.",15,.6,Z3,
-740205.7748,-1041736.9209,"Po-Pá, 8-18 h.",15,.6,Z3,
-740085.6358,-1041518.2479,"Po-Pá, 8-18 h.",30,1.2,Z2,
-741932.5584,-1043946.0433,"Po-Ne, 8-18 h.",30,1.2,Z6,
-741879.6416,-1043901.5932,"Po-Ne, 8-18 h.",30,1.2,Z6,
-741665.8578,-1043789.4096,"Po-Ne, 8-18 h.",30,1.2,Z6,
-740584.8934,-1041349.7687,"Po-Pá, 8-18 h.",40,1.6,O3,
-740536.21,-1041878.9364,"Po-Pá, 8-18 h.",15,.6,Z3,
-741297.8888,-1040948.1082,"Po-Pá, 8-18 h.",15,.6,Z3,
-741819.8118,-1041674.6736,"Po-Pá, 8-18 h.",40,1.6,O3,
-742412.1462,-1041368.9922,"Po-Pá, 8-18 h.",40,1.6,O3,
-739910.4812,-1044488.9303,"Po-Pá, 8-18 h.; So 8-12 h.",40,1.6,O6,
-742928.5254,-1041594.7705,"Po-Pá, 8-18 h.",30,1.2,Z2,
-740359.4349,-1043829.6819,"Po-Pá, 8-18 h.",30,1.2,Z2,
-742475.0076,-1041715.991,"Po-Pá, 8-18 h.",30,1.2,Z2,
-740687.479,-1041060.8814,"Po-Pá, 8-18 h.",30,1.2,Z2,
-741717.7163,-1043848.6764,"Po-Ne, 8-18 h.",30,1.2,Z6,
-741070.015,-1044138.6603,"Po-Pá, 8-18 h.",40,1.6,O3,
-741029.7982,-1044291.0606,"Po-Pá, 8-18 h.",40,1.6,O3,
-742273.3424,-1044977.9203,"Po-Pá, 8-18 h.",30,1.2,Z2,
-742377.0592,-1044988.5037,"Po-Ne, 8-18 h.",30,1.2,Z6,
-743520.0615,-1045191.7041,"Po-So, 8-18 h.",30,1.2,Z1,
-742162.3284,-1043984.4563,"Po-So, 8-18 h.",30,1.2,Z1,
-741596.4976,-1042309.6869,"Po-Pá, 8-18 h.",30,1.2,Z2,
-742948.6068,-1041399.2552,"Po-Pá, 8-18 h.",15,.6,Z3,
-741189.2816,-1043460.0229,"Po-Pá, 8-18 h.",30,1.2,Z2,
-743034.5636,-1043521.9572,"Po-So, 8-18 h.",30,1.2,Z1,
-743034.0345,-1042486.9051,"Po-Pá, 8-18 h.",15,.6,Z3,
-742392.4186,-1042714.7118,"Po-Pá, 8-18 h.",30,1.2,Z2,
-741976.2282,-1042716.0348,"Po-Pá, 8-18 h.",40,1.6,O3,
-741789.6965,-1042875.3143,"Po-So, 8-18 h.",40,1.6,O2,
-741638.8837,-1042864.9955,"Po-Pá, 8-18 h.",15,.6,Z3,
-741972.524,-1043145.719,"Po-So, 8-18 h.",30,1.2,Z1,
-741623.8819,-1043842.707,"Po-Pá, 8-18 h.",30,1.2,Z2,
-743437.0611,-1042599.7507,"Po-Pá, 8-18 h.; So 8-14 h.",30,1.2,Z5,
